Time,GC Util,heapSize,numThreads,GCInterval
0.0,0.0,100,100,104.05
0.0,0.0,100,100,100
70.0,0.0,100,100,100
70.0,0.0,100,100,0.05
142.0,17.0,100,100.0,0.05
142.0,17.0,100,100.0,102.05
160.0,61.0,100,100.0,102.05
160.0,61.0,100,100.0,100.85
831.0,0.0,100,100.0,100.85
831.0,0.0,100,100.0,102.85
1310.0,1.0,100,100.0,102.85
1310.0,1.0,100,100.0,105.25
1332.0,6.0,100,100.0,105.25
1332.0,6.0,100,100.0,107.25
1350.0,4.0,100,100.0,107.25
1350.0,4.0,100,100.0,102.85
1378.0,3.0,100,100.0,102.85
1378.0,3.0,100,100.0,104.85
1404.0,2.0,100,100.0,104.85
1404.0,2.0,100,100.0,106.85
1436.0,2.0,100,100.0,106.85
1436.0,2.0,100,100.0,109.25
1478.0,2.0,100,100.0,109.25
1478.0,2.0,100,100.0,111.25
1503.0,3.0,100,100.0,111.25
1503.0,3.0,100,100.0,113.65
1567.0,1.0,100,100.0,113.65
1567.0,1.0,100,100.0,102.85
1634.0,1.0,100,100.0,102.85
1634.0,1.0,100,100.0,105.25
1779.0,116.0,100.0,100.0,105.25
1779.0,116.0,100.0,100.0,105.25
1911.0,18.0,100.0,100.0,105.25
1911.0,18.0,100.0,100.0,102.05
1922.0,42.0,100.0,100.0,102.05
1922.0,42.0,100.0,100.0,101.65
1928.0,38.0,100.0,100.0,101.65
1928.0,38.0,100.0,100.0,102.05
1941.0,23.0,100.0,100.0,102.05
1941.0,23.0,100.0,100.0,102.85
1953.0,33.0,100.0,100.0,102.85
1953.0,33.0,100.0,100.0,103.25
1981.0,11.0,100.0,100.0,103.25
1981.0,11.0,100.0,100.0,104.85
1998.0,19.0,100.0,100.0,104.85
1998.0,19.0,100.0,100.0,101.65
2030.0,10.0,100.0,100.0,101.65
2030.0,10.0,100.0,100.0,103.65
2070.0,8.0,100.0,100.0,103.65
2070.0,8.0,100.0,100.0,105.25
2083.0,25.0,100.0,100.0,105.25
2083.0,25.0,100.0,100.0,106.45
2136.0,7.0,100.0,100.0,106.45
2136.0,7.0,100.0,100.0,108.05
2149.0,11.0,100.0,100.0,108.05
2149.0,11.0,100.0,100.0,109.65
2169.0,10.0,100.0,100.0,109.65
2169.0,10.0,100.0,100.0,102.45
2196.0,13.0,100.0,100.0,102.45
2196.0,13.0,100.0,100.0,104.05
2226.0,8.0,100.0,100.0,104.05
2226.0,8.0,100.0,100.0,105.65
2239.0,26.0,117.19,100.0,105.65
2239.0,26.0,117.19,100.0,105.65
2257.0,63.0,117.19,100.0,105.65
2257.0,63.0,117.19,100.0,88.05
2285.0,6.0,117.19,100.0,88.05
2285.0,6.0,117.19,100.0,90.05
2316.0,10.0,117.19,100.0,90.05
2316.0,10.0,117.19,100.0,102.45
2367.0,4.0,117.19,100.0,102.45
2367.0,4.0,117.19,100.0,104.45
2383.0,63.0,118.75,100.0,104.45
2383.0,63.0,118.75,100.0,104.45
2407.0,42.0,118.75,100.0,104.45
2407.0,42.0,118.75,100.0,85.65
2424.0,10.0,118.75,100.0,85.65
2424.0,10.0,118.75,100.0,87.25
2433.0,19.0,118.75,100.0,87.25
2433.0,19.0,118.75,100.0,88.45
2457.0,9.0,118.75,100.0,88.45
2457.0,9.0,118.75,100.0,102.45
2472.0,135.0,120.31,100.0,102.45
2472.0,135.0,120.31,100.0,102.45
2500.0,11.0,120.31,100.0,102.45
2500.0,11.0,120.31,100.0,92.05
2513.0,17.0,120.31,100.0,92.05
2513.0,17.0,120.31,100.0,93.25
2565.0,105.0,121.88,100.0,93.25
2565.0,105.0,121.88,100.0,93.25
2577.0,117.0,121.88,100.0,93.25
2577.0,117.0,121.88,100.0,63.65
2583.0,37.0,121.88,100.0,63.65
2583.0,37.0,121.88,100.0,100.85
2606.0,12.0,121.88,100.0,100.85
2606.0,12.0,121.88,100.0,102.45
2609.0,50.0,121.88,100.0,102.45
2609.0,50.0,121.88,100.0,101.65
2627.0,45.0,128.12,100.0,101.65
2627.0,45.0,128.12,100.0,101.65
2643.0,35.0,128.12,100.0,101.65
2643.0,35.0,128.12,100.0,86.05
2652.0,21.0,128.12,100.0,86.05
2652.0,21.0,128.12,100.0,87.25
2678.0,7.0,128.12,100.0,87.25
2678.0,7.0,128.12,100.0,102.45
2703.0,68.0,129.69,100.0,102.45
2703.0,68.0,129.69,100.0,102.45
2736.0,34.0,129.69,100.0,102.45
2736.0,34.0,129.69,100.0,98.85
2755.0,9.0,129.69,100.0,98.85
2755.0,9.0,129.69,100.0,100.45
2767.0,15.0,129.69,100.0,100.45
2767.0,15.0,129.69,100.0,102.05
2779.0,16.0,129.69,100.0,102.05
2779.0,16.0,129.69,100.0,103.25
2794.0,19.0,129.69,100.0,103.25
2794.0,19.0,129.69,100.0,101.65
2818.0,46.0,131.25,12.5,101.65
2818.0,46.0,131.25,12.5,101.65
2841.0,47.0,131.25,100.0,101.65
2841.0,47.0,131.25,100.0,99.25
2855.0,13.0,131.25,100.0,99.25
2855.0,13.0,131.25,100.0,100.85
2877.0,7.0,131.25,100.0,100.85
2877.0,7.0,131.25,100.0,102.85
2900.0,7.0,131.25,100.0,102.85
2900.0,7.0,131.25,100.0,104.85
2918.0,57.0,132.81,12.5,104.85
2918.0,57.0,132.81,12.5,104.85
2938.0,48.0,132.81,100.0,104.85
2938.0,48.0,132.81,100.0,99.25
2948.0,17.0,132.81,100.0,99.25
2948.0,17.0,132.81,100.0,100.45
2991.0,4.0,132.81,100.0,100.45
2991.0,4.0,132.81,100.0,102.45
3009.0,10.0,132.81,100.0,102.45
3009.0,10.0,132.81,100.0,104.45
3028.0,8.0,132.81,100.0,104.45
3028.0,8.0,132.81,100.0,106.05
3044.0,10.0,132.81,100.0,106.05
3044.0,10.0,132.81,100.0,102.45
3062.0,8.0,132.81,100.0,102.45
3062.0,8.0,132.81,100.0,104.05
3072.0,134.0,139.06,100.0,104.05
3072.0,134.0,139.06,100.0,104.05
3092.0,9.0,139.06,100.0,104.05
3092.0,9.0,139.06,100.0,84.45
3103.0,26.0,139.06,100.0,84.45
3103.0,26.0,139.06,100.0,85.25
3129.0,7.0,139.06,100.0,85.25
3129.0,7.0,139.06,100.0,87.25
3165.0,4.0,139.06,100.0,87.25
3165.0,4.0,139.06,100.0,102.85
3197.0,0.0,140.62,100.0,102.85
3197.0,0.0,140.62,100.0,102.85
3209.0,112.0,140.62,100.0,102.85
3209.0,112.0,140.62,100.0,97.65
3233.0,37.0,140.62,100.0,97.65
3233.0,37.0,140.62,100.0,98.05
3261.0,6.0,140.62,100.0,98.05
3261.0,6.0,140.62,100.0,100.05
3282.0,8.0,140.62,100.0,100.05
3282.0,8.0,140.62,100.0,101.65
3309.0,7.0,140.62,100.0,101.65
3309.0,7.0,140.62,100.0,102.45
3316.0,44.0,145.31,12.5,102.45
3316.0,44.0,145.31,12.5,102.45
3342.0,20.0,145.31,100.0,102.45
3342.0,20.0,145.31,100.0,100.85
3353.0,20.0,145.31,100.0,100.85
3353.0,20.0,145.31,100.0,102.05
3374.0,8.0,145.31,100.0,102.05
3374.0,8.0,145.31,100.0,104.05
3398.0,8.0,145.31,100.0,104.05
3398.0,8.0,145.31,100.0,105.65
3430.0,9.0,145.31,100.0,105.65
3430.0,9.0,145.31,100.0,102.45
